SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
MAT205,SD,METODOS NUMERICOS,GIANELLA PEREDO EDUARDO,Lun,09:15-11:30,Vie,09:15-11:30,,
MAT205,SE,METODOS NUMERICOS,GIANELLA PEREDO LUIS ANTONIO,Lun,09:15-11:30,Mie,09:15-11:30,,
MAT205,C1,METODOS NUMERICOS,MORENO SUAREZ ENRIQUE,Lun,16:45-19:00,Mie,16:45-19:00,,
ADM330,SA,ORGANIZACIÓN Y METODOS,TERRAZAS SOTO RICARDO,Lun,09:15-11:30,Mie,09:15-11:30,,
ADM330,SC,ORGANIZACIÓN Y METODOS,CABELLO MERIDA JUAN RUBEN,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
ROB104,W1,PENSAMIENTO CRITICO Y CREATIVO,ESCALANTE DE VENEGAS CANDY TEREZA,Lun,14:30-16:00,Mie,14:30-16:00,,
ECO449,SA,PREPARACION Y EVALUACION PROYECTOS,GUTIERREZ BRUNO KATIME ESTHER,Lun,09:15-11:30,Mie,09:15-11:30,,
ECO449,SI,PREPARACION Y EVALUACION PROYECTOS,PEREZ FERREIRA UBALDO,Lun,07:00-09:15,Vie,07:00-09:15,,
MAT202,SB,PROBABILIDADES Y ESTADISTICA I,CANO CESPEDES JORGE,Lun,09:15-11:30,Mie,09:15-11:30,,
MAT202,SD,PROBABILIDADES Y ESTADISTICA I,CASTRO MARISCAL JHONNY,Lun,18:15-20:30,Mie,18:15-20:30,,
MAT202,SC,PROBABILIDADES Y ESTADISTICA I,SANCHEZ RIOJA EDWIN ALEJANDRO,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
MAT202,SI,PROBABILIDADES Y ESTADISTICA I,SANCHEZ RIOJA EDWIN ALEJANDRO,Lun,19:00-21:15,Mie,19:00-21:15,,
MAT202,R1,PROBABILIDADES Y ESTADISTICA I,HAQUIM QUEVEDO JUAN ARIEL,Lun,07:00-09:15,Mie,07:00-09:15,,
MAT302,SB,PROBABILIDADES Y ESTADISTICA II,CANO CESPEDES JORGE,Lun,09:15-11:30,Mie,09:15-11:30,,
MAT302,SA,PROBABILIDADES Y ESTADISTICA II,SANCHEZ RIOJA EDWIN ALEJANDRO,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
MAT302,SI,PROBABILIDADES Y ESTADISTICA II,GUTHRIE PACHECO MIGUEL ANGEL,Lun,19:00-20:30,Mie,19:00-20:30,Vie,19:00-20:30
ELC003,SA,PRODUCCIÓN Y MARKETING,ATILA LIJERON JHONNY DAVID,Lun,18:15-19:45,Mie,18:15-19:45,,
INF221,SA,PROGRAMACION ENSAMBLADOR,VALLET VALLET CORRADO,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF221,SB,PROGRAMACION ENSAMBLADOR,VALLET VALLET CORRADO,Lun,07:00-09:15,Mie,07:00-09:15,,
INF221,SX,PROGRAMACION ENSAMBLADOR,FLOREZ GUZMAN VALENTIN VICTOR,Lun,19:45-22:00,Mie,19:45-22:00,,
INF221,SC,PROGRAMACION ENSAMBLADOR,VALLET VALLET CORRADO,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
ELC102,SA,PROGRAMACION GRAFICA,KAWAIDA VILLEGAS KENJI,Sab,08:30-11:30,,,
INF120,SB,PROGRAMACION I,MOLLO MAMANI ALBERTO,Lun,07:00-09:15,Mie,07:00-09:15,,
INF120,SD,PROGRAMACION I,VARGAS YAPURA EDWIN,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
INF120,SF,PROGRAMACION I,BALCAZAR VEIZAGA EVANS,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
INF120,SI,PROGRAMACION I,MOLLO MAMANI ALBERTO,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF120,SA,PROGRAMACION I,BALCAZAR VEIZAGA EVANS,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF120,SG,PROGRAMACION I,MOLLO MAMANI ALBERTO,Lun,19:45-21:15,Mie,19:45-21:15,Vie,19:45-21:15
INF120,SH,PROGRAMACION I,ACOSTA ORTEGA VICTOR HUGO,Lun,16:00-18:15,Mie,16:00-18:15,,
INF120,SC,PROGRAMACION I,ACOSTA ORTEGA VICTOR HUGO,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
